area,depth,sr,w0,wn,n0,final_doc,partial1_doc,partial2_doc,partial3_doc,partial1_population,partial2_population,partial3_population,nh3_lim,gamma,date,doc,temperature,do,nh3,abw,fr,protein_content,chb,labor_cost,bonus_cost,energy_cost,probiotic_cost,other_cost,harvest_cost,feeding_cost,nh3_suitable_min,nh3_optimal_min,nh3_optimal_max,nh3_suitable_max,do_suitable_min,do_optimal_min,do_optimal_max,do_suitable_max
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/20/2021,1,29.6,,,0.0370,16.85799,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0, 0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/21/2021,2,29.7,4.95,,0.0430,14.86582,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/22/2021,3,27.6,4.9,,0.0490,13.19326,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/23/2021,4,28.7,4.55,,0.0550,11.78847,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/24/2021,5,29.1,4.59,,0.0100,11.03945,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/25/2021,6,29.2,4.51,,0.0160,9.5976,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/26/2021,7,28.8,4.31,,0.0220,8.738267,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/27/2021,8,28.4,4.24,,0.0280,8.157338,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/28/2021,9,27.9,,,0.0340,7.359126,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/29/2021,10,28.3,5.16,0.02256341759,0.040,6.87236,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/30/2021,11,28.7,5.11,,0.066,6.707439,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,12/31/2021,12,28.9,5.46,,0.092,6.574269,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,1/1/2022,13,29,6.16,0.0164802205,0.118,6.417555,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,1/2/2022,14,28.5,5.69,,0.144,6.247766,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,1/3/2022,15,28.8,6.48,,0.17,6.071976,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,1/4/2022,16,28.6,5.12,0.05457511162,0.26,5.956323,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,1/5/2022,17,28.7,5.46,,0.36,5.719867,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
1000,1.5,0.80,0.05,45,200000,95,60,70,80,20000,30000,30000,1,0.01,1/6/2022,18,28.2,5.55,0.1564562276,0.45,5.719241,36,72,66666.66667,2000,4,120000,30000,1000,16000,0,0,0.01,0.02,3,4,9,10
